171,Rolesville Middle,4700,Burlington Mills Rd,Rolesville,NC,35.919076,-78.4906223,Middle School
172,Abbotts Creek Elementary,9900,Durant Rd,Raleigh,NC,35.9093417,-78.6036183,Elementary Schools
173,Wcpss  At Crossroads I Adm,5625,Dillard Dr,Cary,NC,35.75516950000001,-78.73781960000001,Administration
174,Leesville Road High,8410,Pride Way,Raleigh,NC,35.889331,-78.7205546,High School
175,Leesville Road Middle,8406,Pride Way,Raleigh,NC,35.889331,-78.7205546,Middle School
176,Leesville Road Elementary,8402,Pride Way,Raleigh,NC,35.889331,-78.7205546,Elementary Schools
177,Vernon Malone College & Career Academy,2200,S Wilmington St,Raleigh,NC,35.7524012,-78.6422517,Magnet High School
178,Rolesville High,1099,E Young St,Rolesville,NC,35.9131115,-78.45029559999999,High School
179,Pleasant Grove Elementary,3605,Pleasant Grove Church Rd,Morrisville,NC,35.8637635,-78.8131178,Elementary Schools
180,Beaverdam Elementary,3591,Tarheel Club Rd,Raleigh,NC,35.8274797,-78.5221014,Elementary Schools
181,Oakview Elementary,11500,Holly Springs New Hill Rd,Apex,NC,35.6571029,-78.8769916,Elementary Schools
182,Pine Hollow Middle,5365,Bartram Place,Raleigh,NC,35.9074347,-78.7308896,Middle School
183,White Oak Elementary,1512,White Oak Church Rd,Apex,NC,35.7760828,-78.91928589999999,Elementary Schools
184,Apex Friendship High,7801,Humie Olive Rd,Apex,NC,35.7022291,-78.9086404,High School
185,Crossroads Flex High,5651,Dillard Dr,Cary,NC,35.75516950000001,-78.73781960000001,Magnet High School
186,Hortons Creek Elementary,7615,O'Kelly Chapel Rd,Cary,NC,35.842797,-78.90675670000002,Elementary Schools
187,Rogers Lane Elementary, 201,N. Rogers Ln,Raleigh,NC,35.7864644,-78.5463458,Elementary Schools
188,River Bend Middle,6620,Perry Creek Rd,Raleigh,NC,35.8791814,-78.5463365,Middle School
189,North Wake College & Career Academy,931,Durham Rd,Wake Forest,NC,35.9786313,-78.5405976,Magnet High School
190,Connections Academy,1280,Buck Jones Rd,Raleigh,NC,35.7743781,-78.7347757,Special / Optional Schools
191,SCORE Academy: Cary,5651,Dillard Dr,Cary,NC,35.75516950000001,-78.73781960000001,Special / Optional Schools
192,South Garner High,8228,Hebron Church Rd,Garner,NC,35.6617432,-78.5760103,High School
193,Green Level High,7612,Roberts Rd,Cary,NC,35.7690381,-78.8899797,High School
194,Parkside Elementary,100,Little Dr,Morrisville,NC,35.8456825,-78.866714,Elementary Schools
195,Alston Ridge Middle Site,120,Winding Pine Trail,Cary,NC,35.8537782,-78.9033371,Middle School
196,Barton Pond ES Site,12004,Strickland Rd,Raleigh,NC,35.901608,-78.67784619999999,Future Sites
197,H12 High Site,8550,Stephenson Rd,Apex,NC,35.6916218,-78.8050549,Future Sites
