OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
122,Barwell Road,Community,C-19,2,Developed,54.47147926,5857 Barwell Park Dr,27610,NA,No,95,2001-02-22T00:00:00.000Z,2372768.24,13235.87794
123,Culpepper Circle,Open Space,OS-24,0,Undeveloped,0.76909589,Right of Way,27610,NA,No,96,,33501.6582,752.2775131
124,Smallwood,Open Space,OS-38,1,Undeveloped,2.1202586,1800 Bellwood Dr,27605,NA,No,97,,92358.03174,2319.634734
125,Patterson Green,Greenway,G-124,1,Developed,1.03842562,528 E Hargett St,27601,NA,No,184,,45233.62573,1040.161313
126,Walnut Creek Wetland Center,Greenway,G-160,1,Developed,42.74486242,950 Peterson St,27610,1509 Garner Rd,No,185,,1861958.731,6151.392197
127,FEMA HMGP Phase 1 - 1b,Open Space,OS-19,6,Undeveloped,2.2318788,4104 Converse Dr,27609,NA,No,186,1999-10-18T00:00:00.000Z,97220.21228,1461.932674
128,FEMA HMGP Phase 1 - 1a,Open Space,OS-19,6,Undeveloped,2.54245173,4104 Converse Dr,27609,NA,No,187,1999-10-18T00:00:00.000Z,13528.49707,479.3343181
129,FEMA HMGP Phase 1 - 3a,Open Space,OS-49,11,Undeveloped,0.20827427,829 Young St,27608,NA,No,188,1999-10-08T00:00:00.000Z,9072.367065,421.0559116
130,FEMA HMGP Phase 1 - 3b,Open Space,OS-49,11,Undeveloped,0.2153655,829 Young St,27608,NA,No,189,1999-10-08T00:00:00.000Z,9381.251587,424.2894437
131,FEMA HMGP Phase 1 - 3c,Open Space,OS-49,11,Undeveloped,0.1802546,829 Young St,27608,NA,No,190,1999-10-08T00:00:00.000Z,7851.845703,384.1754495
132,FEMA HMGP Phase 1 - 3 Ann St,Open Space,OS-49,11,Undeveloped,0.68914565,829 Young St,27608,NA,No,191,1999-10-08T00:00:00.000Z,30019.06824,699.901491
133,FEMA HMGP Phase 1 - 3 Nobel,Open Space,OS-49,11,Undeveloped,1.88059651,829 Young St,27608,NA,No,192,1999-10-08T00:00:00.000Z,81918.45349,1283.380256
134,FEMA HMGP Phase 1 - 4a,Open Space,OS-50,6,Undeveloped,0.34702918,500 Bailey Dr,27610,"517,600 Bailey Dr; 1813,1817,1809 Waller Pl",No,193,1999-10-14T00:00:00.000Z,15116.52759,492.187942
135,FEMA HMGP Phase 1 - 4b,Open Space,OS-50,6,Undeveloped,1.04221409,500 Bailey Dr,27610,"517,600 Bailey Dr; 1813,1817,1809 Waller Pl",No,194,1999-10-14T00:00:00.000Z,45398.63403,1171.433724
136,Pearl Road,Special,SP-11,1,Undeveloped,155.0473558,4800 Pearl Rd,27610,6400 Diamond Dr,No,195,,6753835.805,13407.41826
137,Devereux Meadows,Special,SP-12,2,Undeveloped,14.29154116,1027 N West St,27603,NA,No,196,,622537.0425,4326.386202
138,Buck Jones,Open Space,OS-5,3,Undeveloped,2.33489333,473 Buck Jones Rd,27606,NA,No,126,1967-10-20T00:00:00.000Z,101707.5397,1799.616779
139,FEMA HMGP Phase 1 - 5,Open Space,OS-51,2,Undeveloped,1.23352037,2008 Weybridge Dr,27615,6925 Slade Hill Rd,No,127,1999-10-05T00:00:00.000Z,53731.9541,1027.850145
140,FEMA HMGP Phase 1 - 7,Open Space,OS-53,1,Undeveloped,0.7854921,2817 Avent Ferry Rd,27606,NA,No,128,1999-10-15T00:00:00.000Z,34215.88538,757.8656166
141,Municipal Building,Special,SP-16,1,Developed,3.65517088,222 W Hargett St,27601,NA,No,129,1971-12-07T00:00:00.000Z,159218.1412,1660.939314
142,Fayetteville St,Special,SP-2,0,Developed,0,Right of Way,27601,NA,No,130,,175645.6489,3739.444948
143,Hymettus Woods,Special,SP-20,1,Developed,4.51642294,901 Dixie Trl,27607,NA,No,131,1969-08-20T00:00:00.000Z,196734.6061,2998.712445
144,New Bern Place,Special,SP-22,2,Developed,0.1086925,218 New Bern Pl,27601,NA,No,132,1969-04-01T00:00:00.000Z,4734.601196,345.7648521
145,Mordecai Annex,Special,SP-23,2,Undeveloped,0.72837296,913 Mordecai Dr,27604,915 Mordecai Dr,No,133,1989-08-22T00:00:00.000Z,31727.78882,722.0337718
146,Brier Creek,Community,C-23,1,Developed,9.9755688,10810 Globe Rd,27617,NA,No,135,2003-08-13T00:00:00.000Z,434480.7504,2907.114851
147,Mordecai Square,Special,SP-3,2,Developed,3.16437196,1 Mimosa Street,27604,NA,No,136,1969-10-16T00:00:00.000Z,137839.4415,2007.622182
148,Canoe Launch at Falls Lake,Special,SP-30,1,Developed,9.13427767,13304 Creedmoor Rd,27587,NA,No,137,1997-03-15T00:00:00.000Z,397887.5822,3718.694994
149,Moore Square,Special,SP-4,1,Developed,4.09031846,201 South Blount St,27601,NA,No,138,,178173.5967,1689.147829
150,Forestville Road Property,Neighborhood,N-40,1,Undeveloped,26.29358244,4913 Forestville Rd,27616,NA,No,139,2004-10-01T00:00:00.000Z,1145343.702,4877.182332
151,Poole Road Property,Neighborhood,N-39,2,Undeveloped,5.98786626,5326 Poole Rd,27610,NA,No,140,2003-10-17T00:00:00.000Z,260830.4225,2253.592192
152,Charlotte H Green,Neighborhood,N-25,3,Undeveloped,1.0233887,3103 White Oak Rd,27609,NA,No,141,1986-12-30T00:00:00.000Z,44578.61865,927.1451689
153,Watkins Road Property,Community,C-22,1,Undeveloped,38.36159398,0 Watkins Rd,27616,NA,No,142,2003-07-30T00:00:00.000Z,1671024.32,7375.392632
154,Hwy 50 - Beaverdam,Special,SP-35,1,Undeveloped,212.2120238,1201-1601 Danbury Rd,27587,NA,No,143,2007-05-09T00:00:00.000Z,9243918.695,16862.5538
155,Buffaloe Road Athletic,Metro,METRO-8,1,Developed,165.5825135,5900 Buffaloe Rd,27604,NA,No,144,1999-07-07T00:00:00.000Z,7212745.429,11695.92355
156,Carolina Pines,Community,C-2,1,Developed,38.71446193,2305 Lake Wheeler Rd,27603,NA,Yes,145,1962-01-01T00:00:00.000Z,1686395.225,7204.426192
157,"Annie Louise Wilkerson, MD Nature Preserve",Nature Preserve,NP-4,2,Developed,157.5961045,11408 Raven Ridge Rd,27614,NA,No,146,2005-09-15T00:00:00.000Z,6864858.778,11875.05412
158,Honeycutt,Neighborhood,N-29,1,Developed,29.99262649,1032 Clear Creek Farm Rd,27615,NA,No,147,1996-06-12T00:00:00.000Z,1306473.507,5487.625071
159,Durant Annex,Special,SP-36,1,Undeveloped,15.05752201,8305 Camp  Durant Rd,27615,NA,No,148,1999-04-09T00:00:00.000Z,655903.0493,3524.885967
160,Milburnie,Community,C-21,8,Developed,88.17494855,1101 Old Milburnie Rd,27604,NA,No,149,1990-06-01T00:00:00.000Z,3840885.27,15173.00852
161,Highhill Road Property,Neighborhood,N-42,1,Undeveloped,6.43063316,8805 Highhill Rd,27615,NA,No,150,2007-12-27T00:00:00.000Z,280117.3361,2156.038156
162,Latta Property,Special,SP-37,1,Developed,1.97280174,1001 Parker St,27607,NA,No,151,2007-11-16T00:00:00.000Z,85934.86096,1198.410771
163,Millbrook-Exchange,Community,C-4,1,Developed,69.53020303,1815 Spring Forest Rd,27615,NA,No,152,1971-01-01T00:00:00.000Z,3028723.343,8698.378155
164,Hertford Village,Mini,M-7,1,Developed,0.32404053,205 Blanchard St,27603,NA,No,153,1970-01-01T00:00:00.000Z,14115.15344,465.9572258
165,Ridge Road,Neighborhood,N-8,1,Developed,6.77595188,1709 Ridge Rd,27607,NA,No,154,1981-07-30T00:00:00.000Z,295159.3081,2560.619927
166,West Park,Open Space,OS-31,1,Undeveloped,3.397244,300 W Park Dr,27605,NA,No,155,1928-09-12T00:00:00.000Z,147983.3545,3236.257444
167,Baileywick,Community,C-16,1,Developed,50.1559914,9501 Baileywick Rd,27615,NA,No,156,1995-10-31T00:00:00.000Z,2184786.398,8710.131988
168,Kyle Drive Property,Neighborhood,N-43,1,Undeveloped,27.24481076,4700 Kyle Dr,27616,NA,No,157,2008-10-29T00:00:00.000Z,1186725.031,4514.117503
169,Convention Center,Special,SP-40,1,Developed,0,500 S. Salisbury St,27601,NA,No,158,2004-07-02T00:00:00.000Z,174282.858,1670.046589
170,Lake Wheeler,Metro,METRO-2,8,Developed,873.9224193,6404 Lake Wheeler Rd,27603,NA,Yes,159,1956-01-05T00:00:00.000Z,38068063.92,59830.04922
171,Greystone Recreation Center,Neighborhood,N-45,1,Developed,0,7713-55 Leadmine Rd,27615,NA,No,160,,9725.731445,402.1168214
172,O'Rorke-Catholic Cemetery,Special,SP-18,1,Developed,0.97891927,1101 Pender St,27610,NA,No,161,2009-08-03T00:00:00.000Z,42641.52649,835.6111723
